USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
KS	20101	00485015	Lane County	1750	990	1858200248	551220	     717.455	       0.213	 38.481286	-100.466185                                                                                               
KS	20103	00485016	Leavenworth County	76227	28697	1198726879	15905519	     462.831	       6.141	 39.189511	 -95.038977                                                                                   
KS	20105	00485017	Lincoln County	3241	1864	1863226611	2748359	     719.396	       1.061	 39.047276	 -98.214265                                                                                          
KS	20107	00485018	Linn County	9656	5446	1538604962	31951412	     594.059	      12.337	 38.216549	 -94.844932                                                                                            
KS	20109	00485019	Logan County	2756	1441	2779042457	274632	    1072.994	       0.106	 38.913269	-101.157407                                                                                             
KS	20111	00485020	Lyon County	33690	15237	2194947808	20572299	     847.474	       7.943	 38.455498	 -96.161589                                                                                          
KS	20113	00485021	McPherson County	29180	12721	2326520077	6030285	     898.274	       2.328	 38.395812	 -97.647489                                                                                      
KS	20115	00485022	Marion County	12660	5946	2445700985	24448971	     944.290	       9.440	 38.359647	 -97.102771                                                                                         
KS	20117	00485023	Marshall County	10117	4866	2331463499	12753940	     900.183	       4.924	 39.782709	 -96.521243                                                                                       
KS	20119	00485024	Meade County	4575	1998	2533234935	3258258	     978.088	       1.258	 37.243886	-100.360094                                                                                            
