FIPS,State,County,N_1982,N_1987,N_1992,N_1997,P_1982,P_1987,P_1992,P_1997
36097,New York,Schuyler,600691.6095,566052.9035,493071.0115,543544.4825,123759.7053,113999.2836,96115.1891,107274.075
36099,New York,Seneca,939984.15,765881.1885,901209.237,1072408.838,232704.3505,165732.4564,201334.1488,241876.561
36101,New York,Steuben,3701848.749,3267737.009,3191024.372,3073721.88,745516.0726,614633.4241,615545.0528,606516.5582
36103,New York,Suffolk,136562.3565,110429.2935,53475.4135,66026.8725,33471.5114,26511.1504,12503.7559,14204.161
36105,New York,Sullivan,2374524.414,1099119.443,709407.495,754598.3075,734746.1765,282080.1105,137061.6594,157823.214
36107,New York,Tioga,1811081.147,1570421.743,1324435.759,1297647.796,357727.1866,299137.7645,240090.7009,247039.3619
36109,New York,Tompkins,1493578.29,1326160.234,1130083.6,1083038.12,312415.0391,269329.4989,211938.4695,198936.7175
36111,New York,Ulster,682117.9285,580236.223,383309.6325,339062.582,170873.4544,142523.1382,93013.268,82122.5661
36113,New York,Warren,45181.5635,28904.73,36842.805,55860.11875,10422.8429,6024.73,8066.638,13168.3325
36115,New York,Washington,3577271.71,3372611.51,3069621.557,2926981.802,611257.208,583118.5318,533760.6146,513260.3763
