Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,34041,678755.8125000,640013.8750000,654970.6250000,916940.8125000,628060.6250000,594172.8750000,658095.5000000,568203.5000000,679908.6250000,628637.1250000,605398.0000000,595598.8750000,698483.1250000,568087.5000000,611671.8125000,602422.6250000,713551.8125000,721183.1250000,599281.1250000,751748.5000000,723620.3750000,34
,35001,32510.4003906,33161.8007813,34987.6015625,41180.6015625,47093.1015625,43862.3007813,49313.3007813,43938.1992188,63720.8007813,45793.1992188,32831.6992188,49427.1992188,77353.3984375,73859.6015625,93621.0000000,49456.0000000,41002.1992188,37879.1992188,36681.0000000,40778.6992188,42930.0000000,35
,35003,1711.5000000,1745.8000488,1841.9000244,2167.8999023,2479.1999512,2309.1000977,2596.0000000,2313.1000977,3354.5000000,2410.6999512,1728.4000244,2602.0000000,329.5000000,314.6000061,398.7999878,210.6999969,1043.1999512,963.7000122,933.2999878,1037.5000000,1092.1999512,35
,35005,432849.8125000,441523.0937500,465831.8125000,548286.8125000,627007.8750000,583991.3125000,656567.3125000,585002.5000000,848391.8125000,609700.1250000,437128.0937500,658084.1250000,744178.3750000,710566.8750000,900681.1250000,475791.8125000,353190.3125000,326289.3125000,315967.4062500,351265.0000000,369796.3125000,35
,35006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9488.5996094,8765.9003906,8488.5996094,9436.7998047,9934.7001953,35
,35007,42702.5000000,43558.1015625,45956.3007813,54090.8007813,61857.0000000,57613.1992188,64773.1015625,57713.0000000,83697.3984375,60149.5000000,43124.5000000,64922.8007813,42779.3007813,40847.1015625,51775.8007813,27351.0000000,34362.0000000,31744.8007813,30740.5996094,34174.6992188,35977.6015625,35
,35009,1082021.0000000,1103702.0000000,1164468.0000000,1370586.0000000,1567370.0000000,1459839.0000000,1641261.0000000,1462367.0000000,2120777.0000000,1524105.0000000,1092716.0000000,1645053.0000000,1442144.0000000,1377008.0000000,1745431.0000000,922037.3750000,1089352.0000000,1006381.0000000,974544.8125000,1083414.0000000,1140570.0000000,35
,35011,33070.6015625,33733.3007813,35590.5000000,41890.1992188,47904.6992188,44618.1015625,50163.1015625,44695.3984375,64818.8984375,46582.3984375,33397.5000000,50279.0000000,119346.1015625,113955.7031250,144444.9062500,76304.1015625,53729.1992188,49636.8007813,48066.6015625,53436.3007813,56255.3984375,35
,35013,520050.8125000,530471.3750000,559677.3125000,658743.3750000,753323.6250000,701641.0000000,788837.8750000,702855.8750000,1019307.0000000,732529.0000000,525191.0000000,790660.3750000,771504.1250000,736658.3125000,933753.3750000,493262.4062500,542934.3750000,501581.3125000,485714.1875000,539974.8125000,568461.5000000,35
,35015,228186.5000000,232758.9062500,245573.7968750,289041.8125000,330541.4062500,307864.1875000,346124.3125000,308397.3125000,447248.9062500,321417.1875000,230441.9062500,346923.9062500,342680.4062500,327202.9062500,414747.0000000,219093.2968750,214626.5000000,198279.2968750,192006.9062500,213456.5937500,224717.5937500,35
,35017,4773.7001953,4869.3999023,5137.5000000,6046.7998047,6915.0000000,6440.6000977,7241.0000000,6451.7001953,9356.5000000,6724.1000977,4820.8999023,7257.7001953,11914.4003906,11376.2998047,14420.0996094,7617.5000000,2476.5000000,2287.8000488,2215.5000000,2463.0000000,2592.8999023,35
,35019,1412.1999512,1440.5000000,1519.8000488,1788.8000488,2045.5999756,1905.3000488,2142.0000000,1908.5999756,2767.8999023,1989.0999756,1426.0999756,2147.0000000,5590.5000000,5338.0000000,6766.2001953,3574.3000488,13470.9003906,12444.7998047,12051.2001953,13397.4003906,14104.2001953,35
,35021,8749.2001953,8924.5996094,9415.9003906,11082.5996094,12673.7998047,11804.2998047,13271.2998047,11824.7001953,17148.5996094,12323.9003906,8835.7001953,13301.9003906,15560.0000000,14857.2001953,18832.3007813,9948.2998047,25671.6992188,23716.4003906,22966.1992188,25531.8007813,26878.6992188,35
,35023,157026.0000000,160172.4062500,168990.9062500,198903.2968750,227461.2031250,211856.0000000,238184.5000000,212222.7968750,307773.1875000,221182.4062500,158578.0000000,238734.7968750,268866.3125000,256722.7031250,325409.5937500,171900.0937500,100609.6015625,92946.6015625,90006.2968750,100061.2031250,105340.0000000,35
,35025,301964.0937500,308014.8125000,324973.0000000,382495.0937500,437412.5000000,407403.3125000,458033.6875000,408108.8125000,591854.0000000,425338.3125000,304948.8125000,459091.9062500,397140.3125000,379203.0937500,480659.9062500,253912.2968750,314065.9062500,290144.8125000,280966.3125000,312353.9062500,328832.4062500,35
,35027,4328.6000977,4415.2998047,4658.3999023,5483.0000000,6270.2001953,5840.0000000,6565.7998047,5850.1000977,8484.0996094,6097.1000977,4371.3999023,6581.0000000,19970.6992188,19068.6992188,24170.5996094,12768.2998047,17516.6992188,16182.5000000,15670.5996094,17421.1992188,18340.1992188,35
,35028,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,35
,35029,316185.5000000,322521.1875000,340278.0000000,400509.3125000,458013.0000000,426590.5000000,479605.4062500,427329.1875000,619728.1250000,445370.0937500,319310.8125000,480713.4062500,407821.8125000,389402.0937500,493587.8125000,260741.5000000,246421.4062500,227652.5000000,220450.9062500,245078.0937500,258007.4062500,35
,35031,5218.8999023,5323.3999023,5616.5000000,6610.7001953,7559.7998047,7041.2001953,7916.2001953,7053.2998047,10229.0000000,7351.1000977,5270.3999023,7934.5000000,2710.1999512,2587.8000488,3280.1999512,1732.8000488,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,35
,35033,3837.3999023,3914.3000488,4129.7998047,4860.7998047,5558.7001953,5177.2998047,5820.7001953,5186.2998047,7521.2998047,5405.2001953,3875.3000488,5834.2001953,40621.6992188,38787.0000000,49164.5000000,25971.5996094,23712.3007813,21906.3007813,21213.3007813,23583.0996094,24827.1992188,35
,35035,38527.3984375,39299.3984375,41463.1015625,48802.3007813,55809.1992188,51980.3007813,58440.1992188,52070.3007813,75514.2031250,54268.6015625,38908.1992188,58575.1992188,65800.2968750,62828.3984375,79638.2968750,42069.6015625,23766.8007813,21956.5000000,21262.0000000,23637.1992188,24884.1992188,35
,35037,250389.7031250,255406.9062500,269468.5937500,317166.1875000,362703.9062500,337820.0937500,379803.0000000,338405.0937500,490767.3125000,352691.9062500,252864.5000000,380680.4062500,249745.7968750,238465.7968750,302268.0000000,159675.4062500,286316.9062500,264509.3125000,256141.7968750,284756.0937500,299778.5937500,35
